,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),skills,name
50,2,2,0,0,"Data Analytics, English Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Power BI, Computer Vision, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Image Processing, Java, JavaFX, MS-Excel, Machine Learning, NoSQL, Python, R Programming, SQL, Tableau, Tamil Proficiency (Spoken), French Proficiency (spoken), JavaScript",53
51,2,1,1,0,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, Python, WordPress, Digital Marketing, JavaScript, Machine Learning, Natural Language Processing (NLP), Search Engine Marketing (SEM), Search Engine Optimization (SEO)",54
52,2,1,1,0,"C++ Programming, CSS, HTML, MySQL, Python, Android, Artificial Intelligence, JavaScript, Machine Learning, Natural Language Processing (NLP), Node.js",55
53,2,0,0,0,"Data Science, Python, Data Structures",56
54,2,2,0,0,"C Programming, C++ Programming, Java, Machine Learning, Python, SQL, CSS, Data Science, HTML, JavaScript, OpenCV",57
55,2,2,2,0,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Tableau",58
56,3,3,0,0,"Machine Learning, Python, English Proficiency (Written), Power BI, SQL, Statistics, English Proficiency (Spoken), Online Teaching, Teaching",59
57,0,0,0,0,"English Proficiency (Written), MS-Word, C++ Programming, Digital Marketing, English Proficiency (Spoken), MS-Excel, MS-Office, MS-PowerPoint, SQL",60
58,2,0,0,0,"MS-Excel, MySQL, Python, Tableau, R Programming",61
59,2,1,0,1,"Algorithms, Data Structures, MS-Excel, Python, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Git, GitHub, Machine Learning, MySQL",62
60,2,0,0,0,"CSS, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, MS-Word, Power BI, SQL, C Programming, Data Science, Java, Python, Social Media Marketing",63
61,2,2,0,0,"C Programming, CSS, Data Structures, HTML, Java, Machine Learning, Python",64
62,1,0,0,0,"Arduino, Embedded Systems, HTML, VLSI, Python",65
63,2,0,0,0,"Amazon Web Server (AWS), GitHub, Java, Amazon Web Services (AWS), Cloud Computing, Google Cloud Computing, Python, SQL, Data Structures, Linux, MongoDB, Spring MVC",67
64,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Product Lifecycle Management(PLM), Research and Analytics, Business Analysis, Data Science, Deep Learning, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Project Management, Python, SQL, Tableau",68
65,2,2,2,1,"Cloud Computing, Data Analytics, Machine Learning, Natural Language Processing (NLP), Python, Statistics, Deep Learning",69
66,0,0,0,0,"Artificial intelligence, Amazon Web Services (AWS)",70
67,1,2,0,1,"Machine Learning, Data Science, Deep Learning, Python, SQL, Statistics",71
68,2,1,0,1,"English Proficiency (Spoken), English Proficiency (Written), CSS, Data Analytics, MS-Excel, MS-Office, MySQL, Python, SQL, Social Media Marketing, Tableau, Creative Writing, Data Science, Deep Learning, Email Marketing, Facebook Marketing, Java, Machine Learning, Power BI, Research and Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",72
69,1,0,0,0,"Apache Kafka, SQLite, Hadoop, Python, SQL",73
70,1,1,0,0,"Machine Learning, Python, SQL, Statistics",74
71,1,1,0,0,"C++ Programming, Machine Learning, Python, R Programming, SQL",75
72,2,1,1,1,"Content Writing, English Proficiency (Written), Java, MS-PowerPoint, MS-Word, ARM Microcontroller, Arduino, C Programming, C++ Programming, Canva, Cloud Computing, Computer Vision, Data Structures, Database Management System (DBMS), Effective Communication, Embedded Systems, English Proficiency (Spoken), Google Cloud Computing, HTML, Internet of Things (IoT), MS SQL Server, MS-Excel, MS-Office, Microsoft Azure, Microsoft Visual Studio, Python, SQL, Teaching, .NET, Amazon Web Services (AWS), Atmel AVR, CSS, Circuit Design, Data Analytics, Data Science, Deep Learning, Django, Eclipse (IDE), Engineering Drawing, Flask, Flutter, Hadoop, Image Processing, MEAN/MERN Stack, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Node.js, Online Teaching, PCB Design, PLC SCADA, R Programming, REST API, Raspberry Pi, ReactJS, Robotics, SQLite, Software Testing, Swing (Java), UI & UX Design",76
73,2,2,0,0,"DevOps, Machine Learning, Python",77
74,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, MySQL, Power BI, Python",78
75,2,2,0,2,"Data Analytics, Deep Learning, Machine Learning, Python",79
76,2,2,0,0,"Machine Learning, Python",80
77,1,1,0,0,"Artificial Intelligence, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, MongoDB, Python, SQL",81
78,1,2,0,1,"Machine Learning, Tableau, Data Science, Deep Learning, MS-Excel, MySQL, Python",82
79,3,3,0,0,"Android, Blockchain, C Programming, C#, C++ Programming, CSS, Computer Networking, Data Analytics, Data Structures, Database Management System (DBMS), Django, Git, GitHub, HTML, Internet of Things (IoT), Java, JavaScript, Linux, Machine Learning, MySQL, Node.js, Online Teaching, PHP, Python, React Native, Ruby on Rails, SQL",83
80,1,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Power BI, SQL, Tableau, AutoCAD, C Programming, MATLAB, MS-Office, Python",84
81,2,2,0,2,"Data Analytics, Data Science, Deep Learning, Machine Learning, Python, MySQL",85
82,2,1,0,0,"C Programming, HTML, Python, Creative Writing, Java, Machine Learning",86
83,3,3,0,2,"Data Science, Machine Learning, Python, Artificial Intelligence, Data Analytics, Deep Learning, Firebase, Selenium",87
84,1,0,0,0,"Eclipse (IDE), Java, Jira, Manual Testing, Selenium, Postman, Python",88
85,2,1,0,0,"Data Analytics, Python, Data Science, MS-Excel, Machine Learning",89
86,2,2,2,2,"Android, Computer Vision, Data Science, Deep Learning, Firebase, Flask, Flutter, Java, Kotlin, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, Python",90
87,2,2,0,2,"MS-Excel, Power BI, Computer Vision, Content Writing, Data Science, Deep Learning, Machine Learning, MySQL, Python, SQL",91
88,2,1,0,0,"C Programming, CSS, Data Structures, English Proficiency (Written), HTML, JavaScript, MS-Excel, Node.js, Python, Bootstrap, Data Science, Django, GitHub, Machine Learning, ReactJS, WordPress",92
89,3,2,2,2,"Computer Vision, Python, Algorithms, Amazon Web Services (AWS), C++ Programming, CSS, Data Structures, Deep Learning, Django, Git, GitHub, HTML, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, ReactJS",93
90,3,0,0,0,"English Proficiency (Spoken), MS-Office, Python",94
91,2,0,0,0,"Python, Android, Firebase, Java, REST API",95
92,1,0,0,0,"Digital Signal Processing, Embedded Systems, Internet of Things (IoT), Java, MS-Excel, Python",97
93,3,0,0,0,"C++ Programming, Python, ReactJS, CSS, HTML, JavaScript, MEAN/MERN Stack, Tableau, Video Editing, Video Making",99
94,3,1,1,1,"Python, Data Structures, SQL, Data Science, Deep Learning, Django, MATLAB, Machine Learning, Natural Language Processing (NLP), Power BI, Tableau",100
95,1,2,0,0,"Machine Learning, Artificial Intelligence, Python",101
96,2,0,0,0,"C Programming, C++ Programming, Java, MS-Excel, Python",102
97,2,3,2,2,"Machine Learning, Computer Vision, Deep Learning, Natural Language Processing (NLP), Python, Statistics",103
98,2,1,0,1,"Physics, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, PCB Soldering, Python, Algorithms, Computer Vision, Deep Learning, Machine Learning, MySQL, Power BI, Research and Analytics, SQL",104
99,2,2,0,2,"C Programming, Data Science, Data Structures, Deep Learning, Java, MS-Excel, Machine Learning, Python, SQL",105
100,3,3,1,2,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Mathematics, Python, Amazon Web Services (AWS), Computer Networking, Computer Vision, Deep Learning, Digital Signal Processing, Java, JavaScript, MATLAB, MS-Excel, OpenCV, R Programming, SQL, SQLite, Natural Language Processing (NLP)",106
101,3,3,2,2,"CSS, Express.js, HTML, JavaScript, MEAN/MERN Stack, Machine Learning, MongoDB, Neural Networks, Python, Redux, Amazon Web Server (AWS), Amazon Web Services (AWS), AngularJS, Artificial intelligence, Blockchain, Deep Learning, Django, Flask, Linux, Natural Language Processing (NLP), NoSQL, Node.js, ReactJS, SQL, Unity 3D, Bootstrap, C#, Cloud Computing, Java, MySQL, Next.js, Solidity, Unreal Engine",107
102,2,0,0,0,"ASP.NET, Bootstrap, C#.NET, CSS, HTML, JavaScript, Postman, Python, REST API, XML, Angular 2.0, Data Analytics",108
103,1,1,0,0,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, JavaScript, Bootstrap, C++ Programming, MS-Excel, MS-PowerPoint, MS-Word, SQL, Machine Learning, Python",109
104,0,0,0,0,"Content Writing, English Proficiency (Written), Research and Analytics",111
105,0,0,0,0,"Canva, Figma",112
106,1,0,0,0,"HTML, Java, MS-Excel, MS-Word, Python",113
107,2,2,0,1,"LaTeX, Machine Learning, Python, Deep Learning, MS-Excel",114
108,2,0,0,0,"C Programming, Java, Python, SQL, Salesforce, Tableau",115
109,2,2,1,2,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, MySQL, Neural Networks, PostgreSQL, Python, SQL, Computer Vision, Natural Language Processing (NLP)",116
110,3,3,3,2,"Data Analytics, Data Science, English Proficiency (Spoken), Image Processing, MS-Office, MS-Word, Machine Learning, Natural Language Processing (NLP), Project Management, Python, Research and Analytics, Artificial Intelligence, Business Analysis, Computer Vision, Deep Learning, GitHub, MS-Excel, MS-PowerPoint, MySQL, Neural Networks, Power BI, SQL, Statistical Modeling, Tableau, Video Editing",117
111,2,2,0,0,"Hindi Proficiency (Spoken), Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Financial literacy, Hindi Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Python, Data Science, SQL",118
112,2,0,0,0,"Data Analytics, Data Structures, MS-Excel, MySQL, Power BI, Python",119
113,2,2,0,0,"Java, MS-Excel, Machine Learning, Python, SQL",120
114,2,2,0,0,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), MS-PowerPoint, Machine Learning, MySQL, Python, Telugu Proficiency (Spoken)",121
115,2,1,0,0,"English Proficiency (Spoken), Embedded Systems, English Proficiency (Written), HTML, Python, Adobe Photoshop, CSS, Digital Advertising, Digital Art, Digital Marketing, Java, MS-Excel, Machine Learning, WordPress",122
116,2,0,0,0,"C Programming, C++ Programming, CSS, Data Analytics, HTML, Power BI, Python, SQL",123
117,3,2,0,0,"Data Analytics, Python, Data Science, Google Analytics, MS-Excel, Machine Learning, SQL",124
118,1,2,1,0,"English Proficiency (Written), MS-Excel, Data Analytics, English Proficiency (Spoken), Hindi Proficiency (Spoken), Hindi Proficiency (Written), MS-Word, Machine Learning, Mathematics, SQL, Computer Vision, Natural Language Processing (NLP), Power BI, Python",125
119,3,0,0,0,"HTML, Python, Artificial Intelligence, CSS, Database Management System (DBMS), JavaScript, SQL",126
120,0,0,0,0,"MS SQL Server, MS-Office, MS-Word, Manual Testing, Postman, Quality Assurance/Quality Control (QA/QC)",127
121,3,2,2,2,"HTML, Python, Bootstrap, CSS, Data Science, Deep Learning, Flask, GitHub, MS-Excel, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP), SQL, Django, Postman",128
122,2,0,0,0,"Analog And Digital Circuits, Data Science, Data Structures, Django, English Proficiency (Written), Internet of Things (IoT), MS-PowerPoint, MS-Word, Python, Amazon Web Server (AWS), Arduino, Artificial intelligence, C Programming, C#, English Proficiency (Spoken), MySQL, Raspberry Pi",129
123,2,2,0,2,"Data Science, Data Structures, Deep Learning, Java, Machine Learning, Microsoft PowerApps, Neural Networks, Python",130
124,2,1,0,3,"Arduino, Computer Vision, Deep Learning, Internet of Things (IoT), Analog And Digital Circuits, C Programming, C#, C++ Programming, Digital Signal Processing, Embedded Systems, MATLAB, MS-Excel, Python, VLSI, Verilog, Machine Learning, R Programming, Raspberry Pi",131
125,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word",132
126,0,0,0,0,"HTML, Java, Linux, Software Testing",133
127,2,1,1,1,"MS-Word, Java, MS-Excel, MS-Office, Python, SQL, Artificial intelligence, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), R Programming",134
128,0,0,0,0,"English Proficiency (Written), C Programming, English Proficiency (Spoken), C++ Programming, Data Structures",135
129,3,2,0,0,"Python, Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Mathematics, PostgreSQL, Tableau, R Programming, SPSS, SQL",136
130,1,1,0,1,"Artificial Intelligence, C Programming, Database Management System (DBMS), Java, Deep Learning, Machine Learning, Python",137
131,2,3,0,0,"English Proficiency (Spoken), Machine Learning, Mathematics, English Proficiency (Written), Python, Artificial Intelligence",138
132,2,2,0,0,"Business Analysis, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, MySQL, Python, Research and Analytics, Statistics, Statistical Modeling",139
133,2,2,2,2,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Tableau",140
134,2,1,0,0,"Bootstrap, C Programming, CSS, Data Structures, Database Management System (DBMS), Django, HTML, Java, MS-Office, Python, JavaScript, Machine Learning, jQuery",141
135,2,2,2,1,"C Programming, C++ Programming, Machine Learning, Natural Language Processing (NLP), Python, Computer Vision, Deep Learning, Neural Networks, OpenCV",142
136,2,2,1,1,"C Programming, Content Writing, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), GitHub, MS-Excel, Machine Learning, Python, Creative Writing, Data Analytics, Data Science, Deep Learning, MySQL, Natural Language Processing (NLP), Neural Networks, R Programming, Research and Analytics",143
137,3,2,1,0,"C Programming, C++ Programming, Data Science, MS-Office, Python, Data Analytics, Data Structures, Image Processing, MATLAB, Machine Learning, Neural Networks, Visual Basic (VB), Natural Language Processing (NLP), Research and Analytics, SQL",144
138,2,0,0,0,"CSS, Flutter, HTML, Python, Java",145
139,2,0,0,0,"Biology, C Programming, Chemistry, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Java, MS-Excel, MS-Office, Physics, Subject Matter Expert (SME), Client Relationship, Python, Social Media Marketing, Email Marketing",146
140,2,2,0,2,"Data Analytics, MS-PowerPoint, MS-Word, Data Science, Deep Learning, MS-Excel, Machine Learning, Python, Artificial Intelligence, Google Analytics, SQL, Search Engine Optimization (SEO), Tableau",147
141,2,1,0,0,"Python, Data Analytics, Machine Learning",148
142,3,2,2,1,"C Programming, MySQL, Python, SQL, Algorithms, Blender 3D, C++ Programming, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), GitHub, HTML, Java, Linux, MS-Office, Machine Learning, Natural Language Processing (NLP), Blockchain, CSS, Computer Vision, Deep Learning, Django, JavaScript, MS SQL Server, PHP, R Programming, WordPress",149
143,2,2,0,2,"Bootstrap, C Programming, C++ Programming, CSS, Computer Networks, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), Git, Git Bash, HTML, Hindi Proficiency (Spoken), Java, Machine Learning, Microsoft Azure, Python, SQL, Computer Vision, Image Processing, JSP, JavaScript, MATLAB, MySQL, PHP, Servlets, Visual Basic (VB), XML",151
144,2,0,0,0,"Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Event Management, MS SQL Server, MS-Excel, MS-PowerPoint, Python, Tableau",155
145,0,0,0,0,Artificial Intelligence,157
146,1,1,0,0,"CSS, HTML, Java, Machine Learning, MySQL, Python",158
147,3,3,2,3,"C++ Programming, Computer Vision, Deep Learning, Machine Learning, Python, Data Science, Natural Language Processing (NLP)",160
148,2,0,0,0,"Django, Python, ASP.NET, Java",161
149,2,2,2,1,"Adobe Photoshop, Amazon Web Server (AWS), Amazon Web Services (AWS), Artificial Intelligence, AutoCAD, BIG DATA ANALYTICS, CAD, Computer Vision, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Design Thinking, Django, JavaScript, MATLAB, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, PostgreSQL, Power BI, Python, SQL, Tableau, Deep Learning, HTML, Java",162
150,2,3,3,3,"Deep Learning, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Data Analytics, Data Science, Python, SQL, Tableau",163
151,2,2,2,2,"Amazon Web Services (AWS), Data Science, Deep Learning, Docker, Git, GitHub, Kubernetes, Machine Learning, Natural Language Processing (NLP), Python",164
152,3,3,2,2,"Artificial Intelligence, English Proficiency (Written), MS-PowerPoint, MS-Word, Machine Learning, Python, Computer Vision, Data Structures, Deep Learning, English Proficiency (Spoken), MS-Excel, Microsoft Visual Studio, Natural Language Processing (NLP), Neural Networks, Django",165
153,2,2,2,2,"Deep Learning, Machine Learning, MySQL, Natural Language Processing (NLP), Power BI, Python, Tableau",167
154,2,2,0,3,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Artificial Intelligence, Bootstrap, C Programming, C++ Programming, CSS, Computer Vision, Data Science, Data Structures, Google Suite (G Suite), Google Workspace, HTML, JavaScript, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Painting, Python, ReactJS, Sketching, Django, Node.js, WordPress",168
155,0,2,0,0,"C++ Programming, MS-Office, Machine Learning, Artificial Intelligence, C Programming, Data Science, Data Structures, Database Management System (DBMS), Java",169
156,3,3,0,0,"Machine Learning, Python, C Programming, C++ Programming, CSS, HTML, Java, SQL, UI & UX Design, JavaScript",170
157,2,2,1,1,"Algorithms, CSS, Data Structures, GitHub, HTML, Linux, MS-Excel, Machine Learning, MySQL, Neural Networks, Python, SQL, Artificial intelligence, Computer Vision, Data Analytics, Data Science, Deep Learning, Natural Language Processing (NLP), OpenCV",171
158,3,2,0,0,"Python, Artificial Intelligence, Machine Learning, ReactJS, Unity 3D, Node.js",172
159,2,2,0,2,"Deep Learning, Java, MS-Excel, Machine Learning, MySQL, Python, Data Analytics",173
160,2,1,1,1,"C++ Programming, CSS, English Proficiency (Spoken), HTML, Python, Data Analytics, Data Science, Deep Learning, Flask, JavaScript, Machine Learning, Natural Language Processing (NLP), Neural Networks",174
161,2,2,0,2,"C Programming, CSS, Deep Learning, HTML, Java, JavaScript, Machine Learning, Node.js, Python, R Programming, ReactJS, TypeScript",175
162,0,2,0,0,"Data Science, Data Analytics, MS-Excel, MS-Office, Machine Learning, MySQL",176
163,2,2,0,0,"MS-Excel, Machine Learning, Python, Tableau, Data Analytics",177
164,2,2,0,0,"C Programming, C++ Programming, CSS, Express.js, Machine Learning, MongoDB, Node.js, Python, Bootstrap, HTML, REST API, ReactJS, Software Testing",178
165,2,2,2,2,"Database Management System (DBMS), VS Code, WordPress, C++ Programming, CSS, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), HTML, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, PHP, Python, Research and Analytics, SQL, Visual Basic (VB), Data Analytics, JavaScript, Power BI, Tableau",179
166,1,0,0,0,"Database Management System (DBMS), C Programming, C++ Programming, Java, MySQL, Python",180
167,2,2,0,0,"Data Analytics, Data Science, MS SQL Server, MS-Excel, Machine Learning, Python",181
168,0,0,2,0,"Data Analytics, Data Science, English Proficiency (Written), Physics, C++ Programming, English Proficiency (Spoken), MS-Office, Natural Language Processing (NLP), Power BI, SQL, Tableau, MS-Excel",182
